,index,date,rank,song,artist,last-week,peak-rank,weeks-on-board,release_year,count
1798,2331,1989,83,Love Song,The Cure,62.0,2,17,1989,1
1822,2355,1989,96,Angel Eyes,The Jeff Healey Band,71.0,5,22,1989,1
1823,2356,1989,89,Once Bitten Twice Shy,Great White,81.0,5,26,1989,1
1845,2379,1989,83,So Alive,Love And Rockets,73.0,3,20,1989,1
1855,2389,1989,91,Close My Eyes Forever,Lita Ford (Duet With Ozzy Osbourne),89.0,8,25,1989,1
1881,2415,1989,92,Where Are You Now?,Jimmy Harnen With Synch,89.0,10,36,1989,1
1882,2416,1989,98,"Rock On (From ""Dream A Little Dream"")",Michael Damian,70.0,1,21,1989,1
1883,2417,1989,98,Cry,Waterfront,66.0,10,17,1989,1
1891,2426,1989,88,Second Chance,Thirty Eight Special,68.0,6,21,1989,1
1899,2434,1989,90,Heaven Help Me,Deon Estus With George Michael,73.0,5,16,1989,1
1917,2452,1989,99,Walk The Dinosaur,Was (Not Was),78.0,7,16,1989,1
1927,2463,1989,84,When I'm With You,Sheriff,76.0,1,28,1989,1
1943,2480,1989,91,I Remember Holding You,Boys Club,83.0,8,21,1989,1
1959,2496,1989,86,Waiting For A Star To Fall,Boy Meets Girl,64.0,5,25,1989,1
1964,2502,1989,87,"Don't Worry, Be Happy (From ""Cocktail"")",Bobby McFerrin,69.0,1,26,1989,1
1992,2549,1988,86,Just Got Paid,Johnny Kemp,75.0,10,21,1988,1
1993,2550,1988,87,Do You Love Me,The Contours,71.0,3,34,1988,1
1994,2551,1988,100,Rush Hour,Jane Wiedlin,89.0,9,19,1988,1
2000,2557,1988,97,Nite And Day,Al B. Sure!,81.0,7,21,1988,1
2021,2582,1988,89,Shattered Dreams,Johnny Hates Jazz,69.0,2,19,1988,1
2022,2583,1988,91,Two Occasions,The Deele,74.0,10,21,1988,1
2032,2593,1988,85,Electric Blue,Icehouse,65.0,7,21,1988,1
2046,2608,1988,100,Don't Shed A Tear,Paul Carrack,91.0,9,24,1988,1
