,index,date,song,artist,peak-rank,weeks-on-board,release_year,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_m
0,4,1989,When I'm With You,Sheriff,1,28,1989,6yJmxPGazR55GAQdyHPf6q,0.307,0.623,F,-5.612,1,0.0287,0.00015,0.0,0.0913,0.346,168.904,6yJmxPGazR55GAQdyHPf6q,2.9
1,5,1982,Chariots Of Fire - Titles,Vangelis,1,28,1982,40GkYO2g4a3sjipt8VtRkb,0.503,0.465,C#,-7.762,1,0.032,0.0513,0.695,0.0941,0.04,135.883,40GkYO2g4a3sjipt8VtRkb,3.35
2,11,1986,Take On Me,a-ha,1,27,1986,2WfaOiMkCvy7F5fcp2zZ8L,0.573,0.902,F#,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,2WfaOiMkCvy7F5fcp2zZ8L,3.75
3,10,1983,Mickey,Toni Basil,1,27,1983,3RKjTYlQrtLXCq5ncswBPp,0.912,0.507,D,-11.952,1,0.0587,0.579,0.0,0.167,0.725,134.978,3RKjTYlQrtLXCq5ncswBPp,1.93
4,17,1981,"Theme From ""Greatest American Hero"" (Believe It or Not)",Joey Scarbury,2,26,1981,375ntCG12wzCyfzclwYFwG,0.521,0.743,D,-5.903,1,0.0338,0.249,0.0,0.096,0.451,117.129,375ntCG12wzCyfzclwYFwG,3.25
5,0,1988,Do You Love Me,The Contours,3,34,1988,3zHq9ouUJQFQRf3cm1rRLu,0.262,0.606,G#,-6.646,1,0.0484,0.247,0.0,0.125,0.275,189.857,3zHq9ouUJQFQRf3cm1rRLu,4.21
6,16,1987,The Lady In Red,Chris de Burgh,3,26,1987,1GeNWyZtCHbcp3ZWp8GTOO,0.548,0.294,A#,-17.112,1,0.0333,0.332,3.34e-06,0.0392,0.491,76.698,1GeNWyZtCHbcp3ZWp8GTOO,4.27
7,15,1984,Talking In Your Sleep,The Romantics,3,26,1984,7fRvtXvJMpGfTLdF0M09a1,0.72,0.967,A,-4.434,0,0.0343,0.0289,0.000345,0.142,0.977,129.766,7fRvtXvJMpGfTLdF0M09a1,3.92
8,14,1985,I Feel For You,Chaka Khan,3,26,1985,5yR9u8QiOt8hJaddv32oo7,0.698,0.912,B,-8.993,1,0.0675,0.0145,0.0225,0.279,0.797,124.917,5yR9u8QiOt8hJaddv32oo7,5.72
9,9,1982,867-5309/jenny,Tommy Tutone,4,27,1982,6iX1f3r7oUJnMbGgQ2gx1j,0.584,0.708,F,-10.039,1,0.0593,0.0264,0.00364,0.112,0.564,137.657,6iX1f3r7oUJnMbGgQ2gx1j,3.77
