Unnamed: 0,index,release_year,rank,song,artist,last-week,peak-rank,weeks-on-board,release_year.1,count,track_id
19,225,2010,49,Whatcha Say,Jason Derulo,46.0,1,32,2010,1,67T6l4q3zVjC5nZZPXByU8
20,228,2009,48,Viva La Vida,Coldplay,45.0,1,51,2009,1,1mea3bSkSGXuIRvnydlB5b
21,232,2009,40,Whatever You Like,T.I.,35.0,1,31,2009,1,1IAzD1muglOxOcPbUHs70R
22,233,2008,47,Bleeding Love,Leona Lewis,45.0,1,39,2008,1,7wZUrN8oemZfsEd1CGkbXE
23,242,2008,45,Crank That (Soulja Boy),Soulja Boy Tell'em,42.0,1,32,2008,1,66TRwr5uJwPt15mfFkzhbi
24,243,2008,46,Stronger,Kanye West,38.0,1,27,2008,1,0j2T0R9dR9qdJYsB7ciXhf
25,245,2007,47,Hey There Delilah,Plain White T's,39.0,1,35,2007,1,4RCWB3V8V0dignt99LZ8vH
26,247,2007,50,Beautiful Girls,Sean Kingston,38.0,1,22,2007,1,1hGy2eLcmC8eKx7qr1tOqx
27,248,2007,43,Girlfriend,Avril Lavigne,31.0,1,24,2007,1,5PjdC2gMATetx5xdnwGUu7
28,251,2007,46,This Is Why I'm Hot,Mims,30.0,1,23,2007,1,4Js2MCBgl8wupEjKewj0kT
29,252,2007,48,Don't Matter,Akon,36.0,1,23,2007,1,6G8kHiVZ1jW7vHMPVRNZU0
30,253,2007,42,Say It Right,Nelly Furtado,44.0,1,30,2007,1,2aI21FnmY7TJVKeMaoQZ0t
31,260,2006,49,Bad Day,Daniel Powter,49.0,1,32,2006,1,0mUyMawtxj1CJ76kn9gIZK
32,263,2006,98,Do I Make You Proud,Taylor Hicks,78.0,1,8,2006,1,25bu6rqqBZrYXuLaZaCzVs
33,264,2006,49,You're Beautiful,James Blunt,45.0,1,38,2006,1,4IiU1zrJi73ZBfXpAiXIGx
34,265,2006,41,So Sick,Ne-Yo,30.0,1,25,2006,1,6brl7bwOHmGFkNw3MBqssT
35,268,2006,47,Run It!,Chris Brown,44.0,1,38,2006,1,7xYnUQigPoIDAMPVK79NEq
