Unnamed: 0,index,date,rank,song,artist,last-week,peak-rank,weeks-on-board,release_year,count,track_id
1059,1523,1999,50,All Star,Smash Mouth,36,4,30,1999,1,3GCdLUSnKSMJhs4Tj6CV3s
1060,1524,1999,91,Lost In You,Garth Brooks as Chris Gaines,71,5,10,1999,1,5BIY4jMiYsp5QKKE05AXUF
1063,1530,1999,37,Fortunate,Maxwell,40,4,25,1999,1,4BP3uh0hFLFRb5cjsgLqDh
1064,1531,1999,48,Kiss Me,Sixpence None The Richer,46,2,33,1999,1,754kgU5rWscRTfvlsuEwFp
1065,1533,1999,94,Chante's Got A Man,Chante Moore,92,10,18,1999,1,6v4UCusR4LTRlM5WHBUyxQ
1069,1538,1999,66,Please Remember Me,Tim McGraw,58,10,20,1999,1,5u7BDyugDW7ZXkXdCxU9JC
1070,1539,1999,91,Give It To You,Jordan Knight,83,10,20,1999,1,6k8uthjEbttfWXcGaNTQGD
1085,1556,1999,77,You,Jesse Powell,64,10,20,1999,1,0bYg9bo50gSsH3LtXe2SQn
1088,1559,1999,50,Save Tonight,Eagle-Eye Cherry,47,5,28,1999,1,1t2Hq2WIBcZINOEnK6mdJG
1089,1561,1999,89,C'est La Vie,B*Witched,56,9,15,1999,1,3QqOcLtTU8zzlQRJCZzttP
1090,1562,1999,97,Stay The Same,Joey McIntyre,77,10,14,1999,1,5R6NuttGhlDnHy7HRuJkhL
1091,1564,1999,43,Nobody's Supposed To Be Here,Deborah Cox,34,2,29,1999,1,51QxenFmXlJXUN9mpvxlaL
1095,1569,1999,48,Lullaby,Shawn Mullins,44,7,18,1999,1,1GiwvmI57OTGcKGNigZFJb
1096,1570,1999,50,Doo Wop (That Thing),Lauryn Hill,47,1,21,1999,1,0uEp9E98JB5awlA084uaIg
1097,1571,1999,83,Love Like This,Faith Evans,73,7,20,1999,1,2PWTZV5znjLtZC5T1EVJvL
1100,1575,1999,49,Lately,Divine,41,1,27,1999,1,5uKeg9x7ykaz7xe13vL1hg
1101,1576,1999,46,I'll Be,Edwin McCain,49,5,24,1999,1,0phwM5a6TdLBDl0F9bk5fl
1102,1578,1999,69,One Week,Barenaked Ladies,63,1,20,1999,1,7CyPwkp0oE8Ro9Dd5CUDjW
1103,1579,1999,49,Touch It,Monifah,33,9,26,1999,1,1HfsmNlg8xxhOr9N2i4Q0n
1109,1585,1998,32,Crush,Jennifer Paige,29,3,25,1998,1,11qh54D0PKkBwelpDxxiEU
