danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.849,0.648,7,-6.188,1,0.0835,0.0706,0.00636,0.0984,0.195,106.058,audio_features,6tO5bxNnMuh1c3cziSpecA,spotify:track:6tO5bxNnMuh1c3cziSpecA,https://api.spotify.com/v1/tracks/6tO5bxNnMuh1c3cziSpecA,https://api.spotify.com/v1/audio-analysis/6tO5bxNnMuh1c3cziSpecA,111020,4
0.78,0.575,1,-5.628,0,0.139,0.106,0.0,0.129,0.273,81.502,audio_features,0SGkqnVQo9KPytSri1H6cF,spotify:track:0SGkqnVQo9KPytSri1H6cF,https://api.spotify.com/v1/tracks/0SGkqnVQo9KPytSri1H6cF,https://api.spotify.com/v1/audio-analysis/0SGkqnVQo9KPytSri1H6cF,222360,4
0.697,0.691,2,-4.757,1,0.146,0.214,0.0,0.185,0.305,137.853,audio_features,1PSBzsahR2AKwLJgx8ehBj,spotify:track:1PSBzsahR2AKwLJgx8ehBj,https://api.spotify.com/v1/tracks/1PSBzsahR2AKwLJgx8ehBj,https://api.spotify.com/v1/audio-analysis/1PSBzsahR2AKwLJgx8ehBj,239293,4
0.576,0.766,10,-4.943,0,0.449,0.028,1.68e-06,0.366,0.236,144.833,audio_features,5YEOzOojehCqxGQCcQiyR4,spotify:track:5YEOzOojehCqxGQCcQiyR4,https://api.spotify.com/v1/tracks/5YEOzOojehCqxGQCcQiyR4,https://api.spotify.com/v1/audio-analysis/5YEOzOojehCqxGQCcQiyR4,246761,4
0.765,0.473,10,-5.829,1,0.0514,0.287,0.0,0.391,0.34,119.992,audio_features,5kqIPrATaCc2LqxVWzQGbk,spotify:track:5kqIPrATaCc2LqxVWzQGbk,https://api.spotify.com/v1/tracks/5kqIPrATaCc2LqxVWzQGbk,https://api.spotify.com/v1/audio-analysis/5kqIPrATaCc2LqxVWzQGbk,237300,4
0.889,0.498,0,-7.072,1,0.0333,0.272,0.196,0.142,0.676,99.932,audio_features,2RRRLgo66ueTHX0rn9G4Sn,spotify:track:2RRRLgo66ueTHX0rn9G4Sn,https://api.spotify.com/v1/tracks/2RRRLgo66ueTHX0rn9G4Sn,https://api.spotify.com/v1/audio-analysis/2RRRLgo66ueTHX0rn9G4Sn,164013,5
0.774,0.753,4,-5.446,0,0.0517,0.152,0.0,0.0371,0.896,119.002,audio_features,76hfruVvmfQbw0eYn1nmeC,spotify:track:76hfruVvmfQbw0eYn1nmeC,https://api.spotify.com/v1/tracks/76hfruVvmfQbw0eYn1nmeC,https://api.spotify.com/v1/audio-analysis/76hfruVvmfQbw0eYn1nmeC,219147,4
0.584,0.7,11,-4.275,1,0.0456,0.117,0.0,0.0939,0.438,124.944,audio_features,0PDUDa38GO8lMxLCRc4lL1,spotify:track:0PDUDa38GO8lMxLCRc4lL1,https://api.spotify.com/v1/tracks/0PDUDa38GO8lMxLCRc4lL1,https://api.spotify.com/v1/audio-analysis/0PDUDa38GO8lMxLCRc4lL1,202747,4
0.756,0.674,0,-6.518,0,0.0959,0.0184,0.0,0.158,0.389,111.995,audio_features,40YcuQysJ0KlGQTeGUosTC,spotify:track:40YcuQysJ0KlGQTeGUosTC,https://api.spotify.com/v1/tracks/40YcuQysJ0KlGQTeGUosTC,https://api.spotify.com/v1/audio-analysis/40YcuQysJ0KlGQTeGUosTC,251467,4
0.612,0.921,7,-2.882,1,0.085,0.0183,0.0,0.0576,0.446,139.988,audio_features,70eDxAyAraNTiD6lx2ZEnH,spotify:track:70eDxAyAraNTiD6lx2ZEnH,https://api.spotify.com/v1/tracks/70eDxAyAraNTiD6lx2ZEnH,https://api.spotify.com/v1/audio-analysis/70eDxAyAraNTiD6lx2ZEnH,202173,4
0.441,0.599,0,-8.985,1,0.225,0.333,0.00198,0.103,0.35,165.212,audio_features,7eB1V5LvAdxCc7brfGhRRo,spotify:track:7eB1V5LvAdxCc7brfGhRRo,https://api.spotify.com/v1/tracks/7eB1V5LvAdxCc7brfGhRRo,https://api.spotify.com/v1/audio-analysis/7eB1V5LvAdxCc7brfGhRRo,177523,4
0.746,0.873,7,-3.803,1,0.128,0.0244,0.0,0.354,0.817,148.075,audio_features,2d8JP84HNLKhmd6IYOoupQ,spotify:track:2d8JP84HNLKhmd6IYOoupQ,https://api.spotify.com/v1/tracks/2d8JP84HNLKhmd6IYOoupQ,https://api.spotify.com/v1/audio-analysis/2d8JP84HNLKhmd6IYOoupQ,222093,4
0.78,0.68,4,-6.081,1,0.0305,0.141,1.2e-05,0.138,0.594,118.026,audio_features,023OVLNzXhX0j7CxswUt6D,spotify:track:023OVLNzXhX0j7CxswUt6D,https://api.spotify.com/v1/tracks/023OVLNzXhX0j7CxswUt6D,https://api.spotify.com/v1/audio-analysis/023OVLNzXhX0j7CxswUt6D,180560,4
0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,audio_features,4kbj5MwxO1bq9wjT5g9HaA,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,https://api.spotify.com/v1/tracks/4kbj5MwxO1bq9wjT5g9HaA,https://api.spotify.com/v1/audio-analysis/4kbj5MwxO1bq9wjT5g9HaA,199080,4
0.564,0.714,7,-4.987,1,0.129,0.0549,0.0,0.155,0.33,175.924,audio_features,37f4ITSlgPX81ad2EvmVQr,spotify:track:37f4ITSlgPX81ad2EvmVQr,https://api.spotify.com/v1/tracks/37f4ITSlgPX81ad2EvmVQr,https://api.spotify.com/v1/audio-analysis/37f4ITSlgPX81ad2EvmVQr,204013,4
0.754,0.802,9,-6.424,1,0.0551,0.0349,0.0,0.335,0.583,122.026,audio_features,4Tt6GiWS2V9sQjZjS2xjp2,spotify:track:4Tt6GiWS2V9sQjZjS2xjp2,https://api.spotify.com/v1/tracks/4Tt6GiWS2V9sQjZjS2xjp2,https://api.spotify.com/v1/audio-analysis/4Tt6GiWS2V9sQjZjS2xjp2,199263,4
0.779,0.472,11,-7.116,1,0.218,0.0577,0.0,0.114,0.412,135.051,audio_features,0PT7nlpo11hYYyfnBgtilT,spotify:track:0PT7nlpo11hYYyfnBgtilT,https://api.spotify.com/v1/tracks/0PT7nlpo11hYYyfnBgtilT,https://api.spotify.com/v1/audio-analysis/0PT7nlpo11hYYyfnBgtilT,142212,4
0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,audio_features,1CS7Sd1u5tWkstBhpssyjP,spotify:track:1CS7Sd1u5tWkstBhpssyjP,https://api.spotify.com/v1/tracks/1CS7Sd1u5tWkstBhpssyjP,https://api.spotify.com/v1/audio-analysis/1CS7Sd1u5tWkstBhpssyjP,241693,4
0.474,0.921,9,-10.431,0,0.0457,0.00491,0.85,0.476,0.696,93.01,audio_features,1aXV8GrmQLvgoFtBPERP7E,spotify:track:1aXV8GrmQLvgoFtBPERP7E,https://api.spotify.com/v1/tracks/1aXV8GrmQLvgoFtBPERP7E,https://api.spotify.com/v1/audio-analysis/1aXV8GrmQLvgoFtBPERP7E,122339,4
0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,audio_features,2s1sdSqGcKxpPr5lCl7jAV,spotify:track:2s1sdSqGcKxpPr5lCl7jAV,https://api.spotify.com/v1/tracks/2s1sdSqGcKxpPr5lCl7jAV,https://api.spotify.com/v1/audio-analysis/2s1sdSqGcKxpPr5lCl7jAV,216120,5
0.729,0.65,5,-3.539,1,0.0313,0.0702,6.69e-05,0.0829,0.347,110.02,audio_features,14OxJlLdcHNpgsm4DRwDOB,spotify:track:14OxJlLdcHNpgsm4DRwDOB,https://api.spotify.com/v1/tracks/14OxJlLdcHNpgsm4DRwDOB,https://api.spotify.com/v1/audio-analysis/14OxJlLdcHNpgsm4DRwDOB,209160,4
0.773,0.758,1,-4.993,1,0.0381,0.0422,0.0,0.305,0.925,144.033,audio_features,6RtPijgfPKROxEzTHNRiDp,spotify:track:6RtPijgfPKROxEzTHNRiDp,https://api.spotify.com/v1/tracks/6RtPijgfPKROxEzTHNRiDp,https://api.spotify.com/v1/audio-analysis/6RtPijgfPKROxEzTHNRiDp,224840,4
0.706,0.841,7,-3.956,1,0.0418,7.95e-05,0.0,0.0688,0.861,132.032,audio_features,1y4eb6hmAvsqlDOl3fx9kk,spotify:track:1y4eb6hmAvsqlDOl3fx9kk,https://api.spotify.com/v1/tracks/1y4eb6hmAvsqlDOl3fx9kk,https://api.spotify.com/v1/audio-analysis/1y4eb6hmAvsqlDOl3fx9kk,220227,4
0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,audio_features,3U4isOIWM3VvDubwSI3y7a,spotify:track:3U4isOIWM3VvDubwSI3y7a,https://api.spotify.com/v1/tracks/3U4isOIWM3VvDubwSI3y7a,https://api.spotify.com/v1/audio-analysis/3U4isOIWM3VvDubwSI3y7a,269560,4
0.659,0.911,4,-2.28,1,0.0786,0.154,0.000304,0.191,0.576,91.999,audio_features,0Y1MWB026LYxGvhq4EcMiC,spotify:track:0Y1MWB026LYxGvhq4EcMiC,https://api.spotify.com/v1/tracks/0Y1MWB026LYxGvhq4EcMiC,https://api.spotify.com/v1/audio-analysis/0Y1MWB026LYxGvhq4EcMiC,169866,4
0.321,0.64,2,-10.023,1,0.0324,0.28,0.0,0.718,0.414,146.172,audio_features,27RYrbL6S02LNVhDWVl38b,spotify:track:27RYrbL6S02LNVhDWVl38b,https://api.spotify.com/v1/tracks/27RYrbL6S02LNVhDWVl38b,https://api.spotify.com/v1/audio-analysis/27RYrbL6S02LNVhDWVl38b,214333,3
0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,audio_features,1BxfuPKGuaTgP7aM0Bbdwr,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/tracks/1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/audio-analysis/1BxfuPKGuaTgP7aM0Bbdwr,178427,4
0.679,0.715,9,-6.383,1,0.0407,0.0755,0.0,0.271,0.571,127.435,audio_features,3gbBpTdY8lnQwqxNCcf795,spotify:track:3gbBpTdY8lnQwqxNCcf795,https://api.spotify.com/v1/tracks/3gbBpTdY8lnQwqxNCcf795,https://api.spotify.com/v1/audio-analysis/3gbBpTdY8lnQwqxNCcf795,214148,4
0.508,0.497,5,-7.594,0,0.262,0.0142,2.93e-05,0.134,0.142,98.186,audio_features,6LUr2QQla9sLekmdfJvDOS,spotify:track:6LUr2QQla9sLekmdfJvDOS,https://api.spotify.com/v1/tracks/6LUr2QQla9sLekmdfJvDOS,https://api.spotify.com/v1/audio-analysis/6LUr2QQla9sLekmdfJvDOS,160566,5
