,Unnamed: 0,index,date,rank,song,artist,last-week,peak-rank,weeks-on-board,release_year,count,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
344,283,390,2018,50,Boo'd Up,Ella Mai,42.0,5,35,2018,1,5qfE7gCS33CDNwdUtepNqu,0.697,0.382,7.0,-13.488,1.0,0.145,0.0768,0.0,0.119,0.469,157.963,audio_features,5qfE7gCS33CDNwdUtepNqu,spotify:track:5qfE7gCS33CDNwdUtepNqu,https://api.spotify.com/v1/tracks/5qfE7gCS33CDNwdUtepNqu,https://api.spotify.com/v1/audio-analysis/5qfE7gCS33CDNwdUtepNqu,283220.0,4.0,
353,343,480,2017,49,Body Like A Back Road,Sam Hunt,49.0,6,41,2017,1,7FpBQ067pHB67deawpbbcY,0.736,0.458,5.0,-7.437,1.0,0.0316,0.441,0.0,0.148,0.65,98.977,audio_features,7FpBQ067pHB67deawpbbcY,spotify:track:7FpBQ067pHB67deawpbbcY,https://api.spotify.com/v1/tracks/7FpBQ067pHB67deawpbbcY,https://api.spotify.com/v1/audio-analysis/7FpBQ067pHB67deawpbbcY,162547.0,4.0,
354,344,483,2017,48,Mask Off,Future,46.0,5,31,2017,1,0VgkVdmE4gld66l8iyGjgx,0.833,0.434,2.0,-8.795,1.0,0.431,0.0102,0.0219,0.165,0.281,150.062,audio_features,0VgkVdmE4gld66l8iyGjgx,spotify:track:0VgkVdmE4gld66l8iyGjgx,https://api.spotify.com/v1/tracks/0VgkVdmE4gld66l8iyGjgx,https://api.spotify.com/v1/audio-analysis/0VgkVdmE4gld66l8iyGjgx,204600.0,4.0,
355,345,484,2017,44,It Ain't Me,Kygo x Selena Gomez,37.0,10,29,2017,1,12GEpg2XOPyqk03JZEZnJs,0.64,0.533,0.0,-6.596,1.0,0.0706,0.119,0.0,0.0864,0.515,99.968,audio_features,12GEpg2XOPyqk03JZEZnJs,spotify:track:12GEpg2XOPyqk03JZEZnJs,https://api.spotify.com/v1/tracks/12GEpg2XOPyqk03JZEZnJs,https://api.spotify.com/v1/audio-analysis/12GEpg2XOPyqk03JZEZnJs,220781.0,4.0,
356,357,499,2017,55,Tunnel Vision,Kodak Black,51.0,6,20,2017,1,4Q3N4Ct4zCuIHuZ65E3BD4,0.497,0.489,11.0,-7.724,0.0,0.294,0.0576,9.91e-05,0.122,0.231,171.853,audio_features,4Q3N4Ct4zCuIHuZ65E3BD4,spotify:track:4Q3N4Ct4zCuIHuZ65E3BD4,https://api.spotify.com/v1/tracks/4Q3N4Ct4zCuIHuZ65E3BD4,https://api.spotify.com/v1/audio-analysis/4Q3N4Ct4zCuIHuZ65E3BD4,268187.0,4.0,
357,360,504,2017,46,Paris,The Chainsmokers,53.0,6,20,2017,1,6tO5bxNnMuh1c3cziSpecA,0.849,0.648,7.0,-6.188,1.0,0.0835,0.0706,0.00636,0.0984,0.195,106.058,audio_features,6tO5bxNnMuh1c3cziSpecA,spotify:track:6tO5bxNnMuh1c3cziSpecA,https://api.spotify.com/v1/tracks/6tO5bxNnMuh1c3cziSpecA,https://api.spotify.com/v1/audio-analysis/6tO5bxNnMuh1c3cziSpecA,111020.0,4.0,
358,375,523,2017,50,Bounce Back,Big Sean,45.0,6,28,2017,1,0SGkqnVQo9KPytSri1H6cF,0.78,0.575,1.0,-5.628,0.0,0.139,0.106,0.0,0.129,0.273,81.502,audio_features,0SGkqnVQo9KPytSri1H6cF,spotify:track:0SGkqnVQo9KPytSri1H6cF,https://api.spotify.com/v1/tracks/0SGkqnVQo9KPytSri1H6cF,https://api.spotify.com/v1/audio-analysis/0SGkqnVQo9KPytSri1H6cF,222360.0,4.0,
359,376,525,2017,50,Bad Things,Machine Gun Kelly x Camila Cabello,39.0,4,23,2017,1,1PSBzsahR2AKwLJgx8ehBj,0.697,0.691,2.0,-4.757,1.0,0.146,0.214,0.0,0.185,0.305,137.853,audio_features,1PSBzsahR2AKwLJgx8ehBj,spotify:track:1PSBzsahR2AKwLJgx8ehBj,https://api.spotify.com/v1/tracks/1PSBzsahR2AKwLJgx8ehBj,https://api.spotify.com/v1/audio-analysis/1PSBzsahR2AKwLJgx8ehBj,239293.0,4.0,
365,420,585,2016,49,"Me, Myself & I",G-Eazy x Bebe Rexha,42.0,7,37,2016,1,40YcuQysJ0KlGQTeGUosTC,0.756,0.674,0.0,-6.518,0.0,0.0959,0.0184,0.0,0.158,0.389,111.995,audio_features,40YcuQysJ0KlGQTeGUosTC,spotify:track:40YcuQysJ0KlGQTeGUosTC,https://api.spotify.com/v1/tracks/40YcuQysJ0KlGQTeGUosTC,https://api.spotify.com/v1/audio-analysis/40YcuQysJ0KlGQTeGUosTC,251467.0,4.0,
368,464,636,2016,39,Trap Queen,Fetty Wap,35.0,2,52,2016,1,2d8JP84HNLKhmd6IYOoupQ,0.746,0.873,7.0,-3.803,1.0,0.128,0.0244,0.0,0.354,0.817,148.075,audio_features,2d8JP84HNLKhmd6IYOoupQ,spotify:track:2d8JP84HNLKhmd6IYOoupQ,https://api.spotify.com/v1/tracks/2d8JP84HNLKhmd6IYOoupQ,https://api.spotify.com/v1/audio-analysis/2d8JP84HNLKhmd6IYOoupQ,222093.0,4.0,
367,463,634,2016,47,Watch Me,Silento,38.0,3,51,2016,1,7eB1V5LvAdxCc7brfGhRRo,0.441,0.599,0.0,-8.985,1.0,0.225,0.333,0.00198,0.103,0.35,165.212,audio_features,7eB1V5LvAdxCc7brfGhRRo,spotify:track:7eB1V5LvAdxCc7brfGhRRo,https://api.spotify.com/v1/tracks/7eB1V5LvAdxCc7brfGhRRo,https://api.spotify.com/v1/audio-analysis/7eB1V5LvAdxCc7brfGhRRo,177523.0,4.0,
366,456,624,2016,49,Ex's & Oh's,Elle King,48.0,10,38,2016,1,70eDxAyAraNTiD6lx2ZEnH,0.612,0.921,7.0,-2.882,1.0,0.085,0.0183,0.0,0.0576,0.446,139.988,audio_features,70eDxAyAraNTiD6lx2ZEnH,spotify:track:70eDxAyAraNTiD6lx2ZEnH,https://api.spotify.com/v1/tracks/70eDxAyAraNTiD6lx2ZEnH,https://api.spotify.com/v1/audio-analysis/70eDxAyAraNTiD6lx2ZEnH,202173.0,4.0,
369,465,639,2016,49,Cheerleader,OMI,43.0,1,35,2016,1,023OVLNzXhX0j7CxswUt6D,0.78,0.68,4.0,-6.081,1.0,0.0305,0.141,1.2e-05,0.138,0.594,118.026,audio_features,023OVLNzXhX0j7CxswUt6D,spotify:track:023OVLNzXhX0j7CxswUt6D,https://api.spotify.com/v1/tracks/023OVLNzXhX0j7CxswUt6D,https://api.spotify.com/v1/audio-analysis/023OVLNzXhX0j7CxswUt6D,180560.0,4.0,
364,419,584,2016,48,Pillowtalk,Zayn,38.0,1,24,2016,1,0PDUDa38GO8lMxLCRc4lL1,0.584,0.7,11.0,-4.275,1.0,0.0456,0.117,0.0,0.0939,0.438,124.944,audio_features,0PDUDa38GO8lMxLCRc4lL1,spotify:track:0PDUDa38GO8lMxLCRc4lL1,https://api.spotify.com/v1/tracks/0PDUDa38GO8lMxLCRc4lL1,https://api.spotify.com/v1/audio-analysis/0PDUDa38GO8lMxLCRc4lL1,202747.0,4.0,
362,409,574,2016,58,Don't Mind,Kent Jones,50.0,8,20,2016,1,2RRRLgo66ueTHX0rn9G4Sn,0.889,0.498,0.0,-7.072,1.0,0.0333,0.272,0.196,0.142,0.676,99.932,audio_features,2RRRLgo66ueTHX0rn9G4Sn,spotify:track:2RRRLgo66ueTHX0rn9G4Sn,https://api.spotify.com/v1/tracks/2RRRLgo66ueTHX0rn9G4Sn,https://api.spotify.com/v1/audio-analysis/2RRRLgo66ueTHX0rn9G4Sn,164013.0,5.0,
361,408,573,2016,46,7 Years,Lukas Graham,45.0,2,36,2016,1,5kqIPrATaCc2LqxVWzQGbk,0.765,0.473,10.0,-5.829,1.0,0.0514,0.287,0.0,0.391,0.34,119.992,audio_features,5kqIPrATaCc2LqxVWzQGbk,spotify:track:5kqIPrATaCc2LqxVWzQGbk,https://api.spotify.com/v1/tracks/5kqIPrATaCc2LqxVWzQGbk,https://api.spotify.com/v1/audio-analysis/5kqIPrATaCc2LqxVWzQGbk,237300.0,4.0,
360,392,553,2016,44,Panda,Desiigner,42.0,1,40,2016,1,5YEOzOojehCqxGQCcQiyR4,0.576,0.766,10.0,-4.943,0.0,0.449,0.028,1.68e-06,0.366,0.236,144.833,audio_features,5YEOzOojehCqxGQCcQiyR4,spotify:track:5YEOzOojehCqxGQCcQiyR4,https://api.spotify.com/v1/tracks/5YEOzOojehCqxGQCcQiyR4,https://api.spotify.com/v1/audio-analysis/5YEOzOojehCqxGQCcQiyR4,246761.0,4.0,
