,index,date,song,artist,peak-rank,weeks-on-board,release_year,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_m
0,0,2000,Amazed,Lonestar,1,55,2000,6qc34bnVOyqGDPni8H5W0U,0.561,0.543,C#,-8.498,1,0.0324,0.26,0.0,0.124,0.243,139.803,6qc34bnVOyqGDPni8H5W0U,4.01
1,17,2006,You're Beautiful,James Blunt,1,38,2006,0nZM3gXnFcNmbVGzMeqIXE,0.675,0.479,C,-9.87,0,0.0278,0.633,1.81e-05,0.0881,0.454,81.993,0nZM3gXnFcNmbVGzMeqIXE,3.49
2,14,2008,Bleeding Love,Leona Lewis,1,39,2008,7wZUrN8oemZfsEd1CGkbXE,0.638,0.656,F,-5.886,1,0.0357,0.188,0.0,0.146,0.225,104.036,7wZUrN8oemZfsEd1CGkbXE,4.37
3,9,2000,Everything You Want,Vertical Horizon,1,41,2000,4cKGldbhGJniI8BrB3K6tb,0.636,0.761,D#,-6.389,0,0.0306,0.0517,0.0,0.0642,0.736,93.896,4cKGldbhGJniI8BrB3K6tb,4.28
4,19,2004,The Reason,Hoobastank,2,38,2004,77loZpT5Y5PRP1S451P9Yz,0.472,0.671,E,-4.649,1,0.029,0.0129,0.0,0.159,0.0681,82.952,77loZpT5Y5PRP1S451P9Yz,3.88
5,13,2001,Thank You,Dido,3,39,2001,1hz7SRTGUNAtIQ46qiNv2p,0.518,0.492,A#,-8.436,0,0.193,0.216,0.0012,0.146,0.471,78.848,1hz7SRTGUNAtIQ46qiNv2p,6.26
6,6,2000,I Wanna Know,Joe,4,44,2000,5FVd6KXrgO9B3JPmC8OPst,0.548,0.532,F,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,5FVd6KXrgO9B3JPmC8OPst,4.54
7,11,2008,Love Song,Sara Bareilles,4,41,2008,3DZQ6mzUkAdHqZWzqxBKIK,0.71,0.598,F,-7.598,0,0.0319,0.508,0.0,0.0971,0.501,119.981,3DZQ6mzUkAdHqZWzqxBKIK,4.27
8,4,2002,Wherever You Will Go,The Calling,5,45,2002,5QpaGzWp0hwB5faV8dkbAz,0.558,0.719,D,-5.113,1,0.0267,0.0367,0.0,0.115,0.371,112.027,5QpaGzWp0hwB5faV8dkbAz,3.48
9,5,2007,Chasing Cars,Snow Patrol,5,45,2007,5hnyJvgoWiQUYZttV4wXy6,0.56,0.595,A,-4.53,1,0.0274,0.199,6.47e-05,0.132,0.144,104.011,5hnyJvgoWiQUYZttV4wXy6,4.47
